FY,amount.gdp,deflator.index.gdp.2009,deflator.index.gdp.2019,amount.gdp.deflated.gdp.2009,amount.gdp.deflated.gdp.2019
1940,982e8,0.0809,0.06932305055698372,1213844252163.1643,1416556242274.4128
1941,1162e8,0.084,0.07197943444730077,1383333333333.3333,161435e7
1942,1477e8,0.0902,0.07729220222793487,1637472283813.747,1910930155210.643
1943,1846e8,0.0961,0.08234790059982862,1920915712799.1675,2241708636836.6284
1944,2138e8,0.0995,0.08526135389888603,2148743718592.9646,2507583919597.9897
1945,2264e8,0.1019,0.08731790916880891,2221786064769.382,2592824337585.8687
1946,228e9,0.1097,0.09400171379605828,2078395624430.2642,2425487693710.118
1947,2389e8,0.1216,0.1041988003427592,1964638157894.7368,2292732730263.158
1948,262399999999.99997,0.1331,0.11405312767780633,1971450037565.74,2300682193839.2188
1949,2768e8,0.1375,0.1178234790059983,2013090909090.909,2349277090909.091
1950,279e9,0.1355,0.11610968294772922,2059040590405.9038,2402900369003.69
1951,3274e8,0.1428,0.12236503856041131,2292717086834.734,2675600840336.1343
1952,3575e8,0.1485,0.12724935732647813,2407407407407.4077,2809444444444.445
1953,3825e8,0.1512,0.12956298200514138,2529761904761.905,2952232142857.143
1954,3877e8,0.153,0.13110539845758354,2533986928104.575,2957162745098.0396
1955,407e9,0.1542,0.13213367609254498,2639429312581.0635,3080214007782.1016
1956,439e9,0.1582,0.13556126820908312,2774968394437.421,3238388116308.47
1957,4642e8,0.1641,0.14061696658097686,2828762949421.085,3301166361974.406
1958,4743e8,0.1691,0.14490145672664953,2804849201655.8247,3273259018332.3477
1959,5056e8,0.1717,0.1471293916023993,2944670937682.0034,3436430984274.8984
1960,5351e8,0.1741,0.1491859468723222,3073520964962.665,3586798966111.43
1961,5476e8,0.1765,0.15124250214224505,3102549575070.822,3620675354107.6494
1962,5869e8,0.1783,0.1527849185946872,3291643297812.6753,3841347728547.3926
1963,6193e8,0.1805,0.1546700942587832,3431024930747.9224,4004006094182.8257
1964,6629e8,0.1827,0.1565552699228792,3628352490421.456,4234287356321.839
1965,7107e8,0.1859,0.1592973436161097,3823023130715.438,4461467993544.916
1966,7819e8,0.1899,0.16272493573264782,4117430226434.9653,4805041074249.6045
1967,8382e8,0.1957,0.16769494430162812,4283086356668.3696,4998361778231.987
1968,8993e8,0.2024,0.17343616109682947,4443181818181.818,5185193181818.183
1969,9823e8,0.2117,0.18140531276778063,4640056683986.773,5414946150212.565
1970,1049099999999.9999,0.2231,0.1911739502999143,4702375616315.553,5487672344240.251
1971,11193e8,0.2344,0.20085689802913453,4775170648464.164,5572624146757.679
1972,12195e8,0.2455,0.21036846615252783,4967413441955.193,5796971486761.711
1973,1356e9,0.2562,0.21953727506426732,5292740046838.408,6176627634660.423
1974,14862e8,0.2743,0.23504712939160238,5418155304411.229,6322987240247.904
1975,16106e8,0.3027,0.25938303341902313,5320779649818.302,6209349851337.958
1976,17903e8,0.3237,0.2773778920308483,5530738337967.254,6454371640407.786
1977,20284e8,0.347,0.2973436161096829,5845533141210.375,6821737175792.508
1978,22782e8,0.3703,0.3173093401885176,6152308938698.353,7179744531460.978
1979,257e10,0.4001,0.34284490145672664,6423394151462.135,7496100974756.312
1980,27968e8,0.4349,0.3726649528706084,6430903656012.876,7504864566567.026
1981,31384e8,0.4775,0.40916880891173946,6572565445026.179,7670183874345.551
1982,33139e8,0.5103,0.43727506426735213,6494023123652.754,7578524985302.764
1983,35411e8,0.5327,0.4564695801199657,6647456354420.875,7757581565609.161
1984,39528e8,0.5515,0.47257926306769493,7167361740707.162,8364311151405.259
1985,4270399999999.9995,0.5698,0.4882604970008569,7494559494559.494,8746150930150.93
1986,45361e8,0.5828,0.4994001713796058,7783287577213.452,9083096602608.1
1987,47819e8,0.5958,0.5105398457583548,8026015441423.297,9366360020140.986
1988,51551e8,0.6151,0.5270779777206512,8380913672573.565,9780526255893.352
1989,557e10,0.6396,0.5480719794344472,8708567854909.319,10162898686679.176
1990,59146e8,0.6627,0.567866323907455,8925003772446.055,10415479402444.547
1991,61101e8,0.6862,0.5880034275921165,8904255319148.936,10391265957446.809
1992,64347e8,0.703,0.6023993144815767,9153200568990.043,10681785064011.38
1993,67949e8,0.7197,0.6167095115681234,9441294984021.12,11017991246352.646
1994,71978e8,0.7354,0.6301628106255356,9787598585803.645,11422127549632.852
1995,75834e8,0.751,0.6435304198800342,10097736351531.291,11784058322237.018
1996,79783e8,0.765,0.6555269922879178,10429150326797.385,12170818431372.549
1997,8483200000000.001,0.7785,0.6670951156812339,10896852922286.45,12716627360308.287
1998,89548e8,0.7881,0.6753213367609254,11362517447024.488,13260057860677.58
1999,95105e8,0.7981,0.6838903170522708,11916426512968.299,13906469740634.006
2000,101482e8,0.8147,0.698114824335904,12456364305879.465,14536577144961.336
2001,105646e8,0.8342,0.7148243359040275,12664349076959.96,14779295372812.273
2002,108769e8,0.8477,0.7263924592973436,12831072313318.39,14973861389642.562
2003,113324e8,0.8639,0.740274207369323,13117721958560.018,15308381525639.541
2004,120886e8,0.8853,0.758611825192802,13654806280356.941,15935158929176.55
2005,128889e8,0.9131,0.7824335904027421,14115540466542.547,16472835724455.152
2006,136847e8,0.9428,0.8078834618680376,14514955451845.566,16938953012303.777
