FY,amount.gdp,deflator.index.gdp.2012,deflator.index.gdp.2022,amount.deflated.gdp.2012,amount.deflated.gdp.2022
1940,98200000000,0.0771,0.06461615822996983,1273670557717.2502,1519743709468.2231
1941,116200000000,0.08,0.0670465973851827,1452500000000,1733123000000
1942,147700000000,0.086,0.07207509218907139,1717441860465.1165,2049251627906.977
1943,184600000000,0.0915,0.07668454575930271,2017486338797.8142,2407264699453.5522
1944,213800000000,0.0948,0.0794502179014415,2255274261603.3755,2690993248945.148
1945,226400000000,0.0971,0.0813778075762655,2331616889804.325,2782085272914.521
1946,228000000000,0.1045,0.0875796178343949,2181818181818.182,2603345454545.4546
1947,238900000000,0.1159,0.09713375796178345,2061259706643.6582,2459495081967.213
1948,261899999999.99997,0.1269,0.10635266510224607,2063829787234.042,2462561702127.659
1949,276500000000,0.1312,0.10995641971169964,2107469512195.1218,2514632621951.219
1950,278675000000,0.1294,0.108447871270533,2153593508500.773,2569667774343.1226
1951,327050000000,0.1363,0.11423064029500503,2399486426999.266,2863067204695.5244
1952,357100000000,0.1418,0.11884009386523635,2518335684062.059,3004878138222.8486
1953,382050000000,0.1444,0.12101910828025478,2645775623268.698,3156939473684.2104
1954,387150000000,0.1461,0.1224438484746899,2649897330595.4824,3161857494866.53
1955,406325000000,0.1472,0.12336573918873617,2760360054347.826,3293661616847.826
1956,438250000000,0.151,0.12655045256453235,2902317880794.702,3463045695364.239
1957,463375000000,0.1566,0.13124371438149512,2958971902937.4204,3530645274584.93
1958,473475000000,0.1613,0.13518270197787463,2935368877867.328,3502482145071.2954
1959,504600000000,0.1638,0.1372779081461616,3080586080586.0806,3675755311355.311
1960,534325000000.00006,0.1661,0.13920549782098557,3216887417218.5435,3838390066225.1665
1961,546575000000.00006,0.1683,0.14104927924907812,3247623291740.939,3875064111705.2886
1962,585675000000,0.17,0.14247401944351326,3445147058823.5293,4110749470588.235
1963,618200000000,0.172,0.14415018437814278,3594186046511.6284,4288582790697.6753
1964,661700000000,0.1742,0.14599396580623533,3798507462686.5674,4532379104477.612
1965,709325000000,0.1772,0.14850821320817967,4002962753950.339,4776335158013.545
1966,780475000000,0.181,0.15169292658397585,4312016574585.6353,5145098176795.581
1967,836525000000,0.1865,0.15630238015420717,4485388739946.381,5351965844504.021
1968,897575000000,0.193,0.16174991619175327,4650647668393.782,5549152797927.461
1969,980275000000,0.2018,0.16912504190412336,4857656095143.706,5796155252725.471
1970,1046675000000,0.2126,0.17817633255112303,4923212605832.549,5874377281279.398
1971,1116550000000,0.2234,0.18722762319812267,4997985675917.637,5963596508504.925
1972,1216250000000,0.234,0.1961112973516594,5197649572649.572,6201835470085.47
1973,1352725000000,0.2442,0.20465973851827018,5539414414414.414,6609629279279.279
1974,1482850000000,0.2616,0.21924237344954742,5668386850152.905,6763519189602.447
1975,1606925000000,0.2886,0.2418706000670466,5568000693000.692,6643738426888.427
1976,1786100000000,0.3087,0.2587160576600737,5785876255264.011,6903707547781.019
1977,2024325000000,0.331,0.27740529668119346,6115785498489.426,7297355256797.582
1978,2273450000000,0.3533,0.2960945357023131,6434899518822.53,7678122105859.044
1979,2565575000000,0.3818,0.3199798860207844,6719683080146.674,8017925851231.012
1980,2791900000000,0.4151,0.34788803218236675,6725849192965.55,8025283257046.495
1981,3133225000000,0.4559,0.38208179684880994,6872614608466.769,8200403750822.549
1982,3313350000000,0.4876,0.4086490110626885,6795221493027.071,8108058285479.902
1983,3536000000000,0.5089,0.42650016761649345,6948319905678.915,8290735311456.082
1984,3949175000000,0.5271,0.4417532685216225,7492269019161.449,8939775393663.441
1985,4265125000000,0.5447,0.4565035199463627,7830227648246.742,9343027629888.012
1986,4526250000000,0.5569,0.46672812604760305,8127581253366.853,9697829951517.328
1987,4767650000000,0.5694,0.4772041568890379,8373112047769.582,9990797295398.666
1988,5138550000000,0.5878,0.49262487428762985,8742004083021.436,10430959271861.178
1989,5554675000000,0.6116,0.5125712370097217,9082202419882.275,10836883927403.531
1990,5898750000000,0.634,0.5313442842775729,9304022082018.928,11101559148264.986
