table.base.year,FY,index,index.base.year
2008,1940,0.0771,2e3
2008,1941,0.08,2e3
2008,1942,0.086,2e3
2008,1943,0.0915,2e3
2008,1944,0.0948,2e3
2008,1945,0.0971,2e3
2008,1946,0.1045,2e3
2008,1947,0.1159,2e3
2008,1948,0.1269,2e3
2008,1949,0.1312,2e3
2008,1950,0.1294,2e3
2008,1951,0.1363,2e3
2008,1952,0.1418,2e3
2008,1953,0.1444,2e3
2008,1954,0.1461,2e3
2008,1955,0.1472,2e3
2008,1956,0.151,2e3
2008,1957,0.1566,2e3
2008,1958,0.1613,2e3
2008,1959,0.1638,2e3
2008,1960,0.1661,2e3
2008,1961,0.1683,2e3
2008,1962,0.17,2e3
2008,1963,0.172,2e3
2008,1964,0.1742,2e3
2008,1965,0.1772,2e3
2008,1966,0.181,2e3
2008,1967,0.1865,2e3
2008,1968,0.193,2e3
2008,1969,0.2018,2e3
2008,1970,0.2126,2e3
2008,1971,0.2234,2e3
2008,1972,0.234,2e3
2008,1973,0.2442,2e3
2008,1974,0.2616,2e3
2008,1975,0.2886,2e3
2008,1976,0.3087,2e3
2008,1977,0.331,2e3
2008,1978,0.3533,2e3
2008,1979,0.3818,2e3
2008,1980,0.4151,2e3
2008,1981,0.4559,2e3
2008,1982,0.4876,2e3
2008,1983,0.5089,2e3
2008,1984,0.5271,2e3
2008,1985,0.5447,2e3
2008,1986,0.5569,2e3
2008,1987,0.5694,2e3
2008,1988,0.5878,2e3
2008,1989,0.6116,2e3
2008,1990,0.634,2e3
2008,1991,0.6566,2e3
2008,1992,0.673,2e3
2008,1993,0.6888,2e3
2008,1994,0.7038,2e3
2008,1995,0.7188,2e3
2008,1996,0.7323,2e3
2008,1997,0.7453,2e3
2008,1998,0.7546,2e3
2008,1999,0.7643,2e3
2008,2000,0.78,2e3
2008,2001,0.7984,2e3
2008,2002,0.8112,2e3
2008,2003,0.826,2e3
2008,2004,0.8458,2e3
2008,2005,0.8716,2e3
2008,2006,0.8995,2e3
2008,2007,0.924,2e3
2008,2008,0.9431,2e3
2008,2009,0.954,2e3
2008,2010,0.9622,2e3
2008,2011,0.9814,2e3
2008,2012,1,2e3
2008,2013,1.0184,2e3
2008,2014,1.0381,2e3
2008,2015,1.0507,2e3
2008,2016,1.0604,2e3
2008,2017,1.0796,2e3
2008,2018,1.103,2e3
2008,2019,1.1254,2e3
2008,2020,1.1483,2e3
2008,2021,1.1712,2e3
2008,2022,1.1948,2e3
2008,2023,1.2188,2e3
2008,2024,1.2433,2e3
2009,1940,0.0771,2e3
2009,1941,0.08,2e3
2009,1942,0.086,2e3
2009,1943,0.0915,2e3
2009,1944,0.0948,2e3
2009,1945,0.0971,2e3
2009,1946,0.1045,2e3
2009,1947,0.1159,2e3
2009,1948,0.1269,2e3
2009,1949,0.1312,2e3
2009,1950,0.1294,2e3
2009,1951,0.1363,2e3
2009,1952,0.1418,2e3
2009,1953,0.1444,2e3
2009,1954,0.1461,2e3
2009,1955,0.1472,2e3
2009,1956,0.151,2e3
2009,1957,0.1566,2e3
